date,client,origins,origins_with_good_inp,origins_with_good_cls,origins_with_good_ttfb,origins_with_good_fcp,origins_with_good_lcp,origins_with_any_inp,origins_with_any_cls,origins_with_any_ttfb,origins_with_any_fcp,origins_with_any_lcp,origins_with_good_cwv,origins_eligible_for_cwv,pct_good_ttfb,pct_good_fcp,pct_good_lcp,pct_good_cls,pct_good_inp,pct_eligible_origins_with_good_cwv
2024-02-01,mobile,17772904,5705751,8770371,4448756,5533908,6225014,8428004,11214265,10779924,11301089,10927616,4363366,10893768,0.41268899483892463,0.48967918047543912,0.56965892652157613,0.78207274395602389,0.67699908542995468,0.38786623563080741
2024-04-01,desktop,7521693,5916624,5339122,3968467,4920143,5146025,6096771,7490868,7348378,7521693,7277012,3837617,7270274,0.54004666063721818,0.654127069530756,0.70716181311780169,0.71275077868145587,0.970452063887589,0.52785039463437
2024-03-01,desktop,7550724,5948164,5346224,3975081,4931160,5164070,6128725,7519290,7372976,7550724,7307917,3839531,7301344,0.53914199639331528,0.65307114920370546,0.70664048319103789,0.71100117165317467,0.97053857042043823,0.52586633365035262
2024-05-01,desktop,7414774,5821485,5264101,3889060,4878641,5086182,6000116,7383397,7242254,7414774,7168054,3789741,7161496,0.53699580268794767,0.6579621981735384,0.70956245586319522,0.71296464215590738,0.97022874224431666,0.52918286905417522
2024-05-01,mobile,17729471,6069417,8859176,4473477,5591686,6304496,8409052,11202836,10725682,11290942,10908351,4590487,10873137,0.41708089052052821,0.49523644705641034,0.57795133288248612,0.79079761588940511,0.721771847765955,0.41051341158805449
2024-06-01,desktop,7216817,5684032,5141913,3781088,4877275,5043497,5842478,7186730,7021660,7216817,6978076,3764625,6971881,0.53848918916609467,0.67582079467998146,0.72276326597761331,0.71547324026365255,0.9728803428956001,0.53997264152959579
2024-02-01,desktop,7582949,5966893,5368315,3971989,4910742,5148206,6159466,7551855,7402746,7582949,7345225,3832347,7338648,0.53655616442871334,0.647603195010279,0.70089153157323292,0.71086044422198258,0.96873543907864745,0.52221430977477046
2024-04-01,mobile,17718149,5976746,8837992,4474500,5637154,6331438,8383618,11157601,10695393,11243598,10868031,4589794,10833419,0.41835769849691357,0.50136566604391231,0.582574525229087,0.79210504121808978,0.71290772074777264,0.41132694826082794
2024-06-01,mobile,17550222,6166626,8830458,4460493,5734015,6416714,8346080,11131533,10644873,11219631,10838260,4718796,10802930,0.41902735711360767,0.51106983821482188,0.59204281868122743,0.7932831892965686,0.738864952169162,0.42508621200316704
2024-01-01,desktop,7588251,5968111,5370539,3901602,5000001,5213042,6160977,7557806,7226623,7588251,7355277,3874926,7348750,0.53989283791336562,0.65891349666741383,0.70874856242667683,0.71059497954829753,0.9686955494234113,0.52729049158020069
2024-01-01,mobile,17608211,5774939,8860195,4518624,5641224,6324949,8478610,11325194,10860991,11410444,11041708,4438693,11008175,0.41604159325792645,0.49439127872675243,0.5728234255062713,0.78234377265413735,0.68111860316726447,0.39025808566558728
2024-03-01,mobile,17684179,5875508,8784696,4484632,5604823,6304298,8390686,11145597,10692326,11231373,10859885,4509516,10826134,0.4194252962358237,0.49903275405420155,0.58051240874097654,0.78817635340664116,0.70024167273093041,0.40398863065961776
