date,client,origins,origins_with_good_inp,origins_with_good_cls,origins_with_good_ttfb,origins_with_good_fcp,origins_with_good_lcp,origins_with_any_inp,origins_with_any_cls,origins_with_any_ttfb,origins_with_any_fcp,origins_with_any_lcp,origins_with_good_cwv,origins_eligible_for_cwv,pct_good_ttfb,pct_good_fcp,pct_good_lcp,pct_good_cls,pct_good_inp,pct_eligible_origins_with_good_cwv
2024-01-01,desktop,4471,3986,3170,2561,2892,3335,4043,4464,4388,4471,4396,2456,4394,0.58363719234275291,0.64683515991948115,0.75864422202001824,0.71012544802867383,0.98590155824882508,0.55894401456531639
2024-01-01,mobile,4394,2500,3147,1218,1579,2096,3365,3739,3704,3744,3695,1534,3694,0.32883369330453566,0.421741452991453,0.56725304465493909,0.84166889542658463,0.74294205052005946,0.39250173570932656
2024-03-01,desktop,4505,3993,3165,2644,2938,3395,4054,4502,4438,4505,4441,2479,4441,0.59576385759351058,0.65216426193118759,0.76446746228326956,0.70302087960906268,0.9849531327084361,0.55820761089844628
2024-04-01,desktop,4534,4007,3182,2621,2891,3370,4067,4529,4465,4534,4463,2472,4463,0.587010078387458,0.637626819585355,0.75509746807080436,0.70258335173327446,0.98524711089254979,0.55388751960564642
2024-04-01,mobile,4516,2585,3236,1181,1606,2193,3390,3804,3771,3810,3756,1656,3756,0.31317952797666404,0.42152230971128607,0.58386581469648557,0.85068349106204,0.76253687315634222,0.418863361547763
2024-05-01,mobile,4559,2579,3247,1032,1466,2039,3385,3827,3792,3834,3767,1520,3766,0.27215189873417722,0.38236828377673449,0.54127953278470931,0.84844525738176113,0.761890694239291,0.38376825472827386
2024-05-01,desktop,4468,3959,3101,2293,2703,3216,4010,4454,4401,4468,4388,2310,4382,0.52101795046580324,0.60496866606982991,0.73290793072014582,0.69622810956443648,0.987281795511222,0.52715654952076674
2024-03-01,mobile,4462,2546,3197,1206,1644,2223,3369,3787,3754,3791,3736,1680,3735,0.32125732551944591,0.43365866525982588,0.59502141327623126,0.84420385529442832,0.75571386168002375,0.42749757516973813
2024-02-01,mobile,4375,2491,3153,1185,1531,2086,3359,3755,3724,3763,3707,1531,3705,0.31820622986036518,0.40685623173000268,0.56271917992986242,0.83968042609853533,0.74158975885680267,0.391304347826087
2024-02-01,desktop,4535,4022,3191,2639,2901,3380,4087,4525,4464,4535,4463,2475,4459,0.59117383512544808,0.63969128996692393,0.75733811337665247,0.7051933701657459,0.98409591387325668,0.55505718771024892
2024-06-01,desktop,4410,3936,3094,2471,3036,3393,3975,4402,4341,4410,4346,2472,4345,0.56922368117945177,0.68843537414965983,0.78071790151863785,0.70286233530213538,0.990188679245283,0.56892980437284235
2024-06-01,mobile,4564,2619,3202,1151,1686,2245,3368,3772,3745,3778,3738,1713,3738,0.30734312416555409,0.44626786659608259,0.60058855002675227,0.84888653234358435,0.77761282660332542,0.43515643658944353
