url,experimental_time_to_first_byte_p75,experimental_time_to_first_byte_good_density,experimental_time_to_first_byte_needs_improvement_density,experimental_time_to_first_byte_poor_density,first_contentful_paint_p75,first_contentful_paint_good_density,first_contentful_paint_needs_improvement_density,first_contentful_paint_poor_density,largest_contentful_paint_p75,largest_contentful_paint_good_density,largest_contentful_paint_needs_improvement_density,largest_contentful_paint_poor_density,cumulative_layout_shift_p75,cumulative_layout_shift_good_density,cumulative_layout_shift_needs_improvement_density,cumulative_layout_shift_poor_density,interaction_to_next_paint_p75,interaction_to_next_paint_good_density,interaction_to_next_paint_needs_improvement_density,interaction_to_next_paint_poor_density
https://www.nps.gov/media/webcam/view.htm,196,0.951,0.0307,0.0183,594,0.9594,0.0204,0.0202,774,0.966,0.0183,0.0158,0.00,0.9434,0.049,0.0076,55,0.9684,0.0189,0.0126
https://www.nps.gov/index.htm,431,0.8842,0.0794,0.0364,980,0.898,0.0605,0.0415,1327,0.9036,0.0577,0.0387,0.00,0.983,0.0115,0.0055,96,0.9495,0.0403,0.0102
https://www.nps.gov/planyourvisit/pickup-pass-locations.htm,731,0.7904,0.1771,0.0325,1077,0.9225,0.0511,0.0264,1158,0.9578,0.025,0.0172,0.00,0.8535,0.0177,0.1288,120,0.9207,0.0682,0.0111
https://www.nps.gov/yell/index.htm,475,0.8614,0.0831,0.0555,1157,0.871,0.0688,0.0602,1623,0.8773,0.0685,0.0542,0.11,0.6638,0.2931,0.0431,104,0.9242,0.0598,0.016
https://www.nps.gov/grsm/planyourvisit/conditions.htm,164,0.9624,0.0234,0.0142,557,0.9618,0.0198,0.0184,582,0.977,0.011,0.012,0.08,0.7592,0.13,0.1108,77,0.9661,0.0244,0.0095
https://www.nps.gov/civilwar/search-soldiers.htm,300,0.9362,0.0418,0.022,573,0.9608,0.0217,0.0176,642,0.9738,0.0127,0.0135,0.05,0.8066,0.0575,0.1359,144,0.8518,0.1167,0.0315
https://www.nps.gov/media/photo/gallery.htm,363,0.9327,0.0485,0.0187,707,0.9578,0.0224,0.0198,845,0.9688,0.0169,0.0144,0.00,0.82,0.0082,0.1717,67,0.9675,0.0225,0.01
https://www.nps.gov/aboutus/entrance-fee-prices.htm,239,0.9369,0.029,0.0341,631,0.9371,0.0268,0.036,805,0.9508,0.0226,0.0267,0.00,0.9162,0.019,0.0648,172,0.8286,0.1504,0.021
https://www.nps.gov/yell/learn/photosmultimedia/webcams.htm,350,0.9147,0.0603,0.025,892,0.9195,0.0502,0.0303,1339,0.9119,0.0541,0.034,0.22,0.5394,0.3137,0.147,97,0.8816,0.0771,0.0413
https://www.nps.gov/romo/planyourvisit/timed-entry-permit-system.htm,281,0.9335,0.0364,0.0301,731,0.9391,0.0284,0.0324,902,0.953,0.0224,0.0245,0.20,0.5599,0.3533,0.0868,87,0.9659,0.024,0.0102
https://www.nps.gov/planyourvisit/passes.htm,531,0.8647,0.0999,0.0353,988,0.9186,0.0472,0.0342,1205,0.938,0.0331,0.0289,0.00,0.9935,0.0026,0.0039,79,0.9786,0.017,0.0044
https://www.nps.gov/yose/planyourvisit/reservations.htm,248,0.9367,0.0352,0.0281,675,0.9426,0.0288,0.0285,781,0.9584,0.0212,0.0204,0.18,0.591,0.3433,0.0657,79,0.9742,0.0185,0.0073
https://www.nps.gov/yose/index.htm,408,0.8871,0.0681,0.0448,985,0.8964,0.0556,0.048,1446,0.8942,0.0599,0.0459,0.11,0.6723,0.2935,0.0342,95,0.9552,0.0383,0.0064
https://www.nps.gov/findapark/index.htm,231,0.951,0.0321,0.0169,701,0.9526,0.0272,0.0203,908,0.9556,0.0275,0.0168,0.00,0.969,0.0013,0.0297,113,0.9181,0.0697,0.0121
https://www.nps.gov/katm/learn/fat-bear-week-2024.htm,372,0.9121,0.0593,0.0286,1108,0.8967,0.0611,0.0422,1424,0.9027,0.0576,0.0397,0.00,0.9298,0.0328,0.0374,96,0.9622,0.0277,0.01
https://www.nps.gov/grsm/planyourvisit/temproadclose.htm,280,0.9451,0.0342,0.0207,734,0.9434,0.0298,0.0268,828,0.9589,0.0216,0.0195,0.20,0.6343,0.2457,0.12,58,0.9814,0.0102,0.0084
https://www.nps.gov/planyourvisit/event-details.htm,734,0.8016,0.1742,0.0242,1136,0.9221,0.0511,0.0268,1149,0.966,0.0202,0.0138,0.00,0.9902,0.008,0.0018,77,0.9569,0.0278,0.0153
https://www.nps.gov/grsm/index.htm,374,0.9174,0.054,0.0286,879,0.9264,0.0421,0.0315,1202,0.9305,0.0406,0.029,0.11,0.6792,0.2575,0.0632,88,0.958,0.0336,0.0084
https://www.nps.gov/media/video/view.htm,465,0.8868,0.0793,0.0339,1061,0.9035,0.0556,0.0409,1462,0.9013,0.0578,0.0409,0.01,0.9416,0.0048,0.0536,88,0.9528,0.0338,0.0133
https://www.nps.gov/subjects/air/webcams.htm,207,0.9631,0.0214,0.0155,744,0.9491,0.0242,0.0268,886,0.9474,0.0268,0.0258,0.45,0.1255,0.2851,0.5894,81,0.9605,0.0293,0.0102
https://www.nps.gov/romo/index.htm,382,0.9081,0.0523,0.0396,940,0.9118,0.047,0.0412,1392,0.9108,0.0519,0.0373,0.11,0.6879,0.2749,0.0373,88,0.9663,0.0268,0.0068
https://www.nps.gov/glac/index.htm,407,0.8868,0.0684,0.0447,947,0.9041,0.0532,0.0428,1407,0.8979,0.0587,0.0434,0.04,0.8638,0.1241,0.0121,88,0.9543,0.036,0.0097
https://www.nps.gov/findapark/advanced-search.htm,252,0.9372,0.0498,0.013,480,0.9813,0.0107,0.008,620,0.9852,0.0078,0.007,0.00,0.9775,0.0036,0.0189,97,0.9334,0.0552,0.0114
https://www.nps.gov/glac/learn/photosmultimedia/webcams.htm,351,0.9201,0.0526,0.0273,753,0.9367,0.036,0.0273,919,0.9529,0.0259,0.0213,0.04,0.8253,0.1588,0.0159,54,0.9657,0.0276,0.0067
https://www.nps.gov/zion/index.htm,419,0.8883,0.0697,0.042,952,0.9056,0.0529,0.0415,1367,0.909,0.0537,0.0373,0.11,0.6651,0.2766,0.0583,91,0.958,0.0333,0.0086
https://www.nps.gov/grca/index.htm,448,0.8652,0.0817,0.0532,1060,0.8854,0.0609,0.0537,1579,0.8792,0.0713,0.0496,0.12,0.6425,0.2936,0.0639,95,0.9485,0.0407,0.0107
https://www.nps.gov/yose/planyourvisit/conditions.htm,222,0.9451,0.03,0.0249,671,0.9424,0.029,0.0285,760,0.9581,0.0222,0.0197,0.12,0.7045,0.2185,0.0771,88,0.9575,0.0313,0.0112
https://www.nps.gov/acad/index.htm,402,0.889,0.058,0.053,955,0.9002,0.0462,0.0536,1396,0.9015,0.0471,0.0514,0.11,0.6951,0.2636,0.0413,91,0.9578,0.0329,0.0093
https://www.nps.gov/yell/planyourvisit/conditions.htm,231,0.944,0.0319,0.024,605,0.9537,0.0222,0.0241,801,0.9651,0.0161,0.0188,0.05,0.7781,0.1679,0.054,79,0.9701,0.0215,0.0084
https://www.nps.gov/media/photo/gallery-item.htm,369,0.9447,0.0365,0.0188,702,0.9542,0.0247,0.0211,1772,0.8935,0.0644,0.0421,0.47,0.1742,0.0152,0.8106,100,0.9146,0.0619,0.0235
https://www.nps.gov/mora/learn/photosmultimedia/webcams.htm,289,0.9319,0.0465,0.0216,688,0.9495,0.03,0.0205,827,0.9643,0.022,0.0137,0.04,0.9946,0.0032,0.0022,60,0.9737,0.0208,0.0055
https://www.nps.gov/seki/index.htm,349,0.9107,0.0546,0.0347,919,0.9137,0.0459,0.0404,1339,0.9074,0.0516,0.041,0.08,0.7955,0.1665,0.038,94,0.9543,0.0386,0.007
https://www.nps.gov/media/photo/collection-item.htm,371,0.9201,0.0469,0.033,721,0.9328,0.0315,0.0357,2273,0.7925,0.1309,0.0767,0.71,0.2208,0.0018,0.7774,101,0.8944,0.0585,0.0471
https://www.nps.gov/acad/planyourvisit/fees.htm,329,0.918,0.0417,0.0403,1021,0.8897,0.0522,0.0581,1280,0.914,0.0413,0.0446,0.23,0.5534,0.237,0.2095,106,0.9194,0.0634,0.0172
https://www.nps.gov/stli/index.htm,510,0.8434,0.1055,0.0511,1150,0.8635,0.0766,0.0599,1524,0.88,0.0677,0.0523,0.00,0.9919,0.0053,0.0028,105,0.9283,0.0596,0.0122
https://www.nps.gov/shen/index.htm,358,0.9091,0.0517,0.0392,847,0.9218,0.0401,0.0381,1214,0.9252,0.0393,0.0355,0.10,0.7499,0.2333,0.0169,88,0.963,0.0321,0.0049
https://www.nps.gov/katm/learn/fat-bear-week.htm,350,0.9206,0.0501,0.0293,904,0.9258,0.0411,0.0331,1023,0.9513,0.0241,0.0246,0.03,0.9862,0.0116,0.0022,107,0.9591,0.0335,0.0074
https://www.nps.gov/yell/planyourvisit/maps.htm,322,0.9229,0.0434,0.0337,913,0.909,0.0494,0.0416,1237,0.9121,0.0456,0.0423,0.20,0.4633,0.456,0.0808,110,0.8969,0.0761,0.0271
https://www.nps.gov/maca/planyourvisit/cave-tours.htm,271,0.9398,0.0346,0.0256,706,0.9427,0.0267,0.0306,895,0.9526,0.0232,0.0241,0.11,0.739,0.2173,0.0437,95,0.9576,0.0338,0.0086
